#--------------Parameters of the electron distribution-------------
#0  radio[1] = -1.5469 
#1  radio[2] = 1.0827e+51 
#2  radio[3] = 89941 
#3  wbreak0  = 3.3465e+05 
#4  wbreak1  = 5.7977e+06 
#5  wbreak2  = 2.1233e+08 
#6  wbreak3  = 4.7654e+09 
#7  wGamma0  = -3.0673 
#8  wGamma1  = -3.4459 
#9  wGamma2  = -3.766 
#10 w_norm   = 2.5708e+33 
#11 alpha    = -0.14682 
#12 ext_norm = 99.414 
#13 r_o(dust)= 4.7233e+18 
#14 M1(dust) = -4.384 
#15 M2(dust) = -1.1827 
#16 T1(dust) = 149.35 
#17 T2(dust) = 38.628 
#18 rho_0    = 89.04 
#   Bconst   = 0.000264 
#  B_alpha   = -0.51 
#  eps[eV] R+CMB   R+DUST   R+Sync    W+CMB   W+DUST   W+Sync
    1e+08    0.1536      5877      4043 1.089e+04     80.88      3667     98.09  0.001484 
1.114e+08   0.03413      5459      3802  1.12e+04     89.13      3530     94.98  0.001654 
1.242e+08  0.006366      5043      3576 1.146e+04     98.15      3396     91.88  0.001843 
1.384e+08 0.0009775      4631      3365 1.166e+04       108      3266     88.87  0.002054 
1.543e+08 0.0001208      4223      3168 1.179e+04     118.7      3139     85.94  0.002288 
1.719e+08 1.172e-05      3824      2984 1.184e+04     130.3      3015        83  0.002549 
1.916e+08 8.677e-07      3434      2811  1.18e+04       143      2894     80.26  0.002844 
2.135e+08 4.752e-08      3056      2649 1.167e+04     156.7      2777     77.82  0.003167 
2.379e+08 1.857e-09      2695      2497 1.144e+04     171.5      2662     74.94  0.003527 
2.652e+08  4.91e-11      2354      2353 1.112e+04     187.5      2551     72.39  0.003931 
2.955e+08 6.295e-13      2035      2218  1.07e+04     204.8      2443     69.92  0.004383 
3.293e+08         0      1743      2090  1.02e+04     223.4      2337     67.42  0.004879 
 3.67e+08         0      1479      1969      9626     243.3      2234      64.7  0.005436 
 4.09e+08         0      1246      1854      8998     264.7      2135     62.31  0.006051 
4.559e+08         0      1043      1745      8335     287.5      2038      60.1  0.006744 
 5.08e+08         0     870.6      1641      7657     311.8      1944     58.36  0.007517 
5.662e+08         0     725.2      1542      6983     337.7      1852     55.81  0.008373 
 6.31e+08         0     603.5      1448      6330     365.1      1764     53.75  0.009324 
7.032e+08         0     501.7      1357      5710       394      1678     51.62   0.01036 
7.836e+08         0     415.7      1271      5132     424.5      1595     49.76   0.01158 
